datetime,hour_of_day,supply_voltage,supply_current,battery_voltage,battery_current,temperature,is_anomaly
2024-01-01 00:00:00,0.0,33,1.1621,65.7783,2.5996,16.6013,0
2024-01-01 00:01:00,0.02,33,1.1462,64.9566,2.5421,16.826,0
2024-01-01 00:02:00,0.03,33,0.9927,65.2569,2.572,17.0869,0
2024-01-01 00:03:00,0.05,33,1.1328,64.5207,2.5027,17.1305,0
2024-01-01 00:04:00,0.07,33,1.0444,64.6106,2.5415,17.1946,0
2024-01-01 00:05:00,0.08,33,1.1589,65.0466,2.5307,17.3254,0
2024-01-01 00:06:00,0.1,33,1.0213,65.5027,2.5455,17.0908,0
2024-01-01 00:07:00,0.12,33,1.0992,64.0544,2.4686,17.2727,0
2024-01-01 00:08:00,0.13,33,0.9779,65.3636,2.5134,16.7834,0
2024-01-01 00:09:00,0.15,33,0.383377712490851,64.4108,2.5397,17.0244,1
2024-01-01 00:10:00,0.17,33,0.8932,64.9514,2.5119,16.8609,0
2024-01-01 00:11:00,0.18,33,1.0219,65.1087,2.4592,16.8895,0
2024-01-01 00:12:00,0.2,33,1.1016,65.4733,2.506,17.1918,0
2024-01-01 00:13:00,0.22,33,0.9663,65.0687,2.5334,17.048,0
2024-01-01 00:14:00,0.23,33,1.1324,65.3118,2.5282,17.0974,0
2024-01-01 00:15:00,0.25,33,1.0184,64.9695,2.4449,16.8912,0
2024-01-01 00:16:00,0.27,33,1.1051,63.9391,2.5223,17.2413,0
2024-01-01 00:17:00,0.28,33,1.129,63.5873,2.5278,16.8405,0
2024-01-01 00:18:00,0.3,33,1.0116,64.2307,2.5622,16.9462,0
2024-01-01 00:19:00,0.32,33,0.9651,64.3039,2.5671,16.5506,0
2024-01-01 00:20:00,0.33,33,0.3623581594790038,64.7736,2.5335,17.0199,1
2024-01-01 00:21:00,0.35,33,0.8968,64.9126,2.4974,17.0062,0
2024-01-01 00:22:00,0.37,33,0.8981,64.2727,2.4858,16.8093,0
2024-01-01 00:23:00,0.38,33,1.0392,64.4669,2.539,17.0699,0
2024-01-01 00:24:00,0.4,33,0.9517,65.1586,2.491,17.3448,0
2024-01-01 00:25:00,0.42,33,1.0281,64.7696,2.6348,17.1116,0
2024-01-01 00:26:00,0.43,33,1.114,64.8342,2.4572,17.32,0
2024-01-01 00:27:00,0.45,33,1.0448,65.2156,2.5155,16.9549,0
2024-01-01 00:28:00,0.47,33,1.0784,64.8012,2.4898,17.197,0
2024-01-01 00:29:00,0.48,33,1.1344,65.5993,2.4166,16.8042,0
2024-01-01 00:30:00,0.5,33,1.0762,66.1113,2.4185,17.1726,0
2024-01-01 00:31:00,0.52,33,1.1361,65.3418,2.5892,16.9288,0
2024-01-01 00:32:00,0.53,33,1.0776,64.2726,2.4142,16.9348,0
2024-01-01 00:33:00,0.55,33,1.1578,64.9892,2.5173,16.9089,0
2024-01-01 00:34:00,0.57,33,1.0706,65.0757,2.4706,17.079,0
2024-01-01 00:35:00,0.58,33,1.1964,65.7893,2.5031,16.852,0
2024-01-01 00:36:00,0.6,33,1.083,65.1954,2.5072,16.9924,0
2024-01-01 00:37:00,0.62,33,1.0258,65.0239,2.4843,17.0789,0
2024-01-01 00:38:00,0.63,33,1.0306,65.0716,2.4869,17.1756,0
2024-01-01 00:39:00,0.65,33,1.0913,65.2958,2.3861,17.3523,0
2024-01-01 00:40:00,0.67,33,1.024,64.9889,2.5499,17.4531,0
2024-01-01 00:41:00,0.68,33,1.2214,64.8364,2.4086,17.1713,0
2024-01-01 00:42:00,0.7,33,1.0112,65.8267,2.3746,17.1947,0
2024-01-01 00:43:00,0.72,33,1.0918,65.0373,2.4314,17.351,0
2024-01-01 00:44:00,0.73,33,1.1154,64.7913,2.462,17.3497,0
2024-01-01 00:45:00,0.75,33,0.966,65.1145,2.4551,16.9715,0
2024-01-01 00:46:00,0.77,33,1.2797,65.7141,2.4071,17.2377,0
2024-01-01 00:47:00,0.78,33,1.1388,65.2697,2.4443,17.3256,0
2024-01-01 00:48:00,0.8,33,1.098,65.1003,2.4371,16.6946,0
2024-01-01 00:49:00,0.82,33,1.1249,66.1264,2.4671,16.9415,1
2024-01-01 00:50:00,0.83,33,1.0597,64.9575,2.4606,16.9415,1
2024-01-01 00:51:00,0.85,33,1.1326,65.782,2.4741,16.9415,1
2024-01-01 00:52:00,0.87,33,1.0427,65.1726,2.364,16.9415,1
2024-01-01 00:53:00,0.88,33,1.255,66.6458,2.4507,16.9415,1
2024-01-01 00:54:00,0.9,33,1.1699,65.2775,2.5096,16.9415,1
2024-01-01 00:55:00,0.92,33,1.1334,64.9712,2.4874,16.8347,0
2024-01-01 00:56:00,0.93,33,0.9588,64.9906,2.4633,17.6252,0
2024-01-01 00:57:00,0.95,33,1.0099,65.0101,2.5032,17.4065,0
2024-01-01 00:58:00,0.97,33,1.0703,65.3096,2.54,17.1109,0
2024-01-01 00:59:00,0.98,33,1.1993,65.5968,2.3972,17.2973,0
2024-01-01 01:00:00,1.0,33,1.3158,65.1227,2.3243,17.6993,0
2024-01-01 01:01:00,1.02,33,0.9375,65.3247,2.4704,17.0982,0
2024-01-01 01:02:00,1.03,33,1.2882,64.9422,2.5729,17.228,0
2024-01-01 01:03:00,1.05,33,1.4027,65.3409,2.4443,17.3239,0
2024-01-01 01:04:00,1.07,33,1.017,65.6692,2.4623,16.9849,0
2024-01-01 01:05:00,1.08,33,1.1669,65.6828,2.4174,17.0029,0
2024-01-01 01:06:00,1.1,33,1.1478,65.79,2.5042,17.2283,0
2024-01-01 01:07:00,1.12,33,1.25,66.0165,2.4512,17.6327,0
2024-01-01 01:08:00,1.13,33,1.2424,64.7594,2.5069,17.5762,0
2024-01-01 01:09:00,1.15,33,1.1574,65.2525,2.4927,17.2869,0
2024-01-01 01:10:00,1.17,33,1.0834,65.4042,2.4928,17.1228,0
2024-01-01 01:11:00,1.18,33,1.3256,65.4053,2.4793,17.1729,0
2024-01-01 01:12:00,1.2,33,1.1792,64.9783,2.4531,17.2267,0
2024-01-01 01:13:00,1.22,33,1.2578,65.2929,2.4904,17.6387,0
2024-01-01 01:14:00,1.23,33,1.0336,65.5857,2.4981,17.6606,0
2024-01-01 01:15:00,1.25,33,1.2772,65.2329,2.3913,17.0469,0
2024-01-01 01:16:00,1.27,33,1.3079,65.818,2.5521,17.4616,0
2024-01-01 01:17:00,1.28,33,1.407,65.148,2.4217,17.1281,0
2024-01-01 01:18:00,1.3,33,1.1408,66.6923,2.4296,17.5476,0
2024-01-01 01:19:00,1.32,33,1.1451,66.5258,2.4288,17.6732,0
2024-01-01 01:20:00,1.33,33,1.3085,66.1903,2.2902,17.6548,0
2024-01-01 01:21:00,1.35,33,1.2478,66.2528,2.4602,17.2969,0
2024-01-01 01:22:00,1.37,33,1.2073,64.952,2.431,17.6592,0
2024-01-01 01:23:00,1.38,33,1.1679,65.4362,2.4268,17.6371,0
2024-01-01 01:24:00,1.4,33,1.1292,65.8933,2.3898,17.485,0
2024-01-01 01:25:00,1.42,33,1.2662,65.955,2.362,17.7697,0
2024-01-01 01:26:00,1.43,33,1.2359,66.0111,2.4041,17.729,0
2024-01-01 01:27:00,1.45,33,1.4366,66.3689,2.4222,17.3183,0
2024-01-01 01:28:00,1.47,33,1.2369,66.0083,2.466,17.6621,0
2024-01-01 01:29:00,1.48,33,1.4624,66.3298,2.446,17.7835,0
2024-01-01 01:30:00,1.5,33,1.3468,66.953,2.3605,17.7292,0
2024-01-01 01:31:00,1.52,33,1.2405,66.0376,2.403,17.7004,0
2024-01-01 01:32:00,1.53,33,1.1478,65.3355,2.3617,17.7892,0
2024-01-01 01:33:00,1.55,33,1.4156,66.25,2.3517,17.396,0
2024-01-01 01:34:00,1.57,33,1.2772,66.7922,2.3742,17.6715,0
2024-01-01 01:35:00,1.58,33,1.4211,66.8938,2.4646,17.6105,0
2024-01-01 01:36:00,1.6,33,1.3951,66.1331,2.4133,17.772,0
